Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/battlelog/recipe/processUpgradeCharacterEvolutionRecipe (POST),1.0 [0.5]*,14.999028119735648,79.5,16.7,60.9,115,1190,00.0,00.0
/store/quest/claimQuest (POST),1.0 [0.5]*,5.0,230,27.2,189,260,1150,00.0,00.0
/notification/liveops/events/evaluate (POST),0.5 [0.5]*,2.0,569,40.2,541,598,1140,00.0,00.1
/{a:crate|crate\/v1}/assignSharedCrate (POST),1.0 [0.5]*,15.712857142857143,72.3,14.8,58.4,121,1140,00.0,00.0
/{a:crate|crate\/v1}/inbox/claimPlayerInboxMessage (POST),1.0 [0.5]*,5.0,227,163,72.0,480,1130,00.0,00.0
/reward/periodic/campaign/v2/getUpdatedCampaignInfo (POST),0.96 [0.5]*,12.932617525273987,86.9,180,25.9,686,1120,00.0,00.0
/tutorial/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,9.0,124,34.8,78.0,184,1110,00.0,00.0
/tutorial/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,34.0,32.5,8.67,23.4,57.0,1100,00.0,00.0
/playermodel/ads/claim (POST),1.0 [0.5]*,32.75333333333334,33.6,6.98,27.5,63.8,1100,00.0,00.0
/tutorial/goal/v1/claimAchievement (POST),1.0 [0.5]*,10.0,110,37.2,72.2,183,1100,00.0,00.0
/tutorial/campaign/v2/listCoreCampaigns (POST),1.0 [0.5]*,4.0,274,107,130,389,1090,00.0,00.0
/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,23.989150121265023,44.0,18.3,16.0,84.0,1060,00.0,00.0
/recipe/tutorial/completeStep (POST),1.0 [0.5]*,21.0,46.9,41.9,11.7,127,984,00.0,00.0
/store/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,24.84054054054054,39.3,10.4,26.3,74.0,975,00.0,00.0
/playermodel/socialintegrationv2/bind (POST),0.67 [0.5]*,3.0,323,153,149,432,969,00.0,00.1
/battlelog/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,6.0,160,89.9,84.7,287,960,00.0,00.0
/{a:social\/integration|social\/v1\/integration}/googleplay/find (POST),0.75 [0.5]*,2.0,476,160,363,590,953,00.0,00.0
/bundle/getBundleConfig (POST),0.99 [0.5]*,40.0,23.6,123,0.74,784,944,00.0,00.0
/{a:crate|crate\/v1}/playerraid/startRaid (POST),1.0 [0.5]*,27.85135135135135,33.8,4.72,28.3,45.5,943,00.0,00.0
/goal/v1/checkGoalsReset (POST),1.0 [0.5]*,4.0,234,44.1,190,280,934,00.0,00.0
/playermodel/recipe/processUpgradeCharacterEvolutionRecipe (POST),1.0 [0.5]*,12.7359375,73.3,11.2,64.1,101,933,00.0,00.0
/reward/periodic/quest/getQuests (POST),1.0 [0.5]*,11.0,84.3,25.7,60.1,135,927,00.0,00.0
/battlelog/leaderboards/claimPromotionRewards (POST),1.0 [0.5]*,6.0,150,43.7,70.7,196,899,00.0,00.0
/playermodel/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,15.998966521250907,56.1,27.0,26.9,124,898,00.0,00.0
/{a:crate|crate\/v1}/recipe/processUpgradeCharacterEvolutionRecipe (POST),1.0 [0.5]*,10.988375568412287,80.6,16.1,62.2,119,885,00.0,00.0
/{a:crate|crate\/v1}/ads/claim (POST),1.0 [0.5]*,25.0,35.3,4.21,27.8,43.5,881,00.0,00.0
/battlelog/goal/v1/claimAchievement (POST),1.0 [0.5]*,7.881818181818182,111,20.9,64.8,131,875,00.0,00.0
/battlelog/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,17.99521665446596,46.6,18.5,25.9,102,838,00.0,00.0
/notification/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,16.0,52.3,11.7,28.6,76.5,837,00.0,00.0
/battlelog/recipe/processInstantOpenCrateRecipe (POST),1.0 [0.5]*,4.0,207,54.2,143,265,827,00.0,00.0
/playermodel/tutorial/completeStep (POST),1.0 [0.5]*,19.0,41.2,35.9,11.5,110,783,00.0,00.0
/battlelog/{a:authentication|authentication\/v1}/register (POST),0.5 [0.5]*,1.0,753,0,753,753,753,00.0,00.0
/tutorial/battlelog/listDefenseLogs (POST),1.0 [0.5]*,42.0,17.6,3.29,13.8,27.4,741,00.0,00.0
/{a:crate|crate\/v1}/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,4.0,173,49.5,134,244,694,00.0,00.0
/recipe/goal/v1/claimAchievement (POST),1.0 [0.5]*,6.0,114,24.5,87.5,144,686,00.0,00.0
/battlelog/localcache/refresh (GET),0.5 [0.5]*,1.0,676,0,676,676,676,00.0,00.0
/battlelog/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,4.0,167,37.9,133,221,669,00.0,00.0
/playermodel/goal/v1/claimAchievement (POST),1.0 [0.5]*,6.0,110,42.2,69.9,164,660,00.0,00.0
/store/recipe/processOpenGachaRecipe (POST),1.0 [0.5]*,3.0,219,32.1,200,256,657,00.0,00.0
/store/recipe/processInstantOpenCrateRecipe (POST),1.0 [0.5]*,4.0,164,21.1,150,194,656,00.0,00.0
/leaderboards/getLeaguesInformation (POST),1.0 [0.5]*,34.81804620828419,17.9,5.74,12.9,45.3,623,00.0,00.0
