Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/store/leaderboards/getCurrentLeague (POST),0.99 [0.5],1436.0,243,2760,13.6,56300,348000,00.0,00.0
/store/version (GET),0.91 [0.5],134.0,2520,10300,0.409,66100,338000,00.0,00.0
/reward/periodic/executeScheduledPeriodicReward (POST),0.97 [0.5],707.6008335509237,475,4700,19.1,81900,336000,00.0,00.0
/playermodel/listPlayerModels (POST),0.54 [0.5],206.56419423520356,1610,3810,179,32700,333000,00.0,00.1
/recipe/recipe/processUpgradePlayerLevelRecipe (POST),0.96 [0.5],292.0,1140,8900,138,138000,333000,00.0,00.0
/store/{a:authentication|authentication\/v1}/register (POST),0.38 [0.5]*,28.0,11900,36400,694,171000,332000,00.0,00.0
/battlelog/recipe/processUpgradePlayerLevelRecipe (POST),0.88 [0.5],164.0,1990,15300,20.8,146000,326000,00.0,00.0
/recipe/infobutton/getGachaRewardInfo (POST),0.97 [0.5],411.0,787,8980,16.6,157000,323000,00.0,00.0
/tutorial/tutorial/startStep (POST),0.98 [0.5],647.0,497,6360,14.6,132000,322000,00.0,00.0
/playermodel/inbox/claimPlayerInboxMessage (POST),0.89 [0.5],501.0,642,6170,55.3,138000,322000,00.0,00.1
/store/infobutton/getRewardInfo (POST),0.98 [0.5],808.0,396,5150,14.4,102000,320000,00.0,00.0
/store/tutorial/startStep (POST),0.97 [0.5],350.0,910,8970,15.4,140000,319000,00.0,00.0
/{a:crate|crate\/v1}/inbox/readPlayerInboxMessage (POST),0.99 [0.5],1114.0,286,3900,28.3,107000,318000,00.0,00.0
/{a:crate|crate\/v1}/tutorial/completeStep (POST),0.99 [0.5],1079.0,293,4150,10.3,106000,316000,00.0,00.0
/recipe/{a:authentication|authentication\/v1}/register (POST),0.4 [0.5]*,21.0,15000,34000,676,130000,314000,00.0,00.0
/tutorial/campaign/v2/getUpdatedCampaignInfo (POST),0.99 [0.5],727.0,429,4640,18.2,101000,312000,00.0,00.0
/battlelog/version (GET),0.97 [0.5],491.0,629,5390,0.372,68900,309000,00.0,00.0
/battlelog/infobutton/getGachaRewardInfo (POST),0.99 [0.5],1191.0,258,3040,14.2,73500,307000,00.0,00.0
/store/recipe/processUpgradeCharacterEvolutionRecipe (POST),0.98 [0.5],526.0,568,4350,42.9,65600,299000,00.0,00.0
/battlelog/{a:authentication|authentication\/v1}/login/internal (POST),0.93 [0.5],107.0,2790,13000,47.0,88800,299000,00.0,00.0
/battlelog/leaderboards/getMyLeagueRewards (POST),0.99 [0.5],974.0,304,4360,15.4,110000,296000,00.0,00.0
/{a:crate|crate\/v1}/version (GET),0.98 [0.5],656.0,449,4610,0.408,70300,295000,00.0,00.0
/recipe/processUpgradeCharacterQualityRecipe (POST),0.99 [0.5],684.0,427,4200,69.8,81800,292000,00.0,00.0
/{a:crate|crate\/v1}/{a:crate|crate\/v1}/assignSharedCrate (POST),0.39 [0.5],3048.0,95.8,967,25.0,53200,292000,00.0,02.1
/{a:crate|crate\/v1}/leaderboards/getPlayerPosition (POST),0.98 [0.5],969.0,291,557,37.6,16700,282000,00.0,00.0
/store/infobutton/getGachaRewardInfo (POST),0.98 [0.5],746.0,375,4230,17.7,97300,279000,00.0,00.0
/battlelog/infobutton/getProductRewardInfo (POST),0.99 [0.5],1230.0,226,3520,11.2,103000,279000,00.0,00.0
/{a:crate|crate\/v1}/campaign/v2/getUpdatedStageInfo (POST),0.99 [0.5],1691.0,164,2380,12.9,62200,277000,00.0,00.0
/playermodel/tutorial/startStep (POST),0.98 [0.5],491.0,550,4750,15.5,71300,270000,00.0,00.0
/{a:crate|crate\/v1}/recipe/processUpgradeCharacterEvolutionRecipe (POST),0.99 [0.5],585.0,455,5100,36.6,112000,266000,00.0,00.0
/leaderboards/claimPromotionRewards (POST),0.98 [0.5],851.0,311,3450,50.1,99700,265000,00.0,00.0
/store/infobutton/getProductRewardInfo (POST),0.99 [0.5],783.0,331,3970,12.9,78400,259000,00.0,00.0
/tutorial/goal/v1/claimRepeatableGoal (POST),0.9 [0.5]*,87.0,2950,15000,70.0,109000,257000,00.0,00.0
/recipe/campaign/v2/getPlayerCampaignStatus (POST),0.99 [0.5],1371.0,187,2510,10.9,73100,257000,00.0,00.0
/playermodel/infobutton/getRewardInfo (POST),0.98 [0.5],1153.0,218,2940,14.2,74000,252000,00.0,00.0
/battlelog/recipe/processUpgradeCharacterEvolutionRecipe (POST),0.99 [0.5],738.0,340,3140,50.7,63000,251000,00.0,00.0
/playermodel/battlelog/liveops/events/evaluate (POST),0.16 [0.5],119.0,2110,279,1660,2390,251000,00.0,00.1
/battlelog/infobutton/getRewardInfo (POST),0.99 [0.5],1182.0,203,4010,14.3,126000,240000,00.0,00.0
/{a:crate|crate\/v1}/infobutton/getGachaRewardInfo (POST),0.99 [0.5],885.0,269,3860,15.7,114000,238000,00.0,00.0
/tutorial/campaign/v2/getUpdatedStageInfo (POST),0.98 [0.5],220.0,1080,10500,11.5,139000,238000,00.0,00.0
/store/recipe/processInstantOpenCrateRecipe (POST),0.44 [0.5],1281.0,185,992,26.6,24800,237000,00.0,00.8
/{a:crate|crate\/v1}/infobutton/getProductRewardInfo (POST),0.99 [0.5],909.0,260,3490,11.5,78900,237000,00.0,00.0
/recipe/infobutton/getRewardInfo (POST),0.98 [0.5],381.0,616,6300,14.5,87700,235000,00.0,00.0
